sensor_record_id,aircraft_id,reading_date,flight_hours_at_reading,egt_celsius,oil_pressure_psi,vibration_ips,fuel_flow_kgh,bleed_air_temp_c,anomaly_flag
SNS000001,AC001,2024-07-31,33208,926.8,60.64,0.729,2536.9,210.4,0
SNS000002,AC001,2022-01-21,33216,923.7,83.61,0.512,2563.7,201.2,0
SNS000003,AC001,2024-06-02,33224,927.7,54.11,0.251,2189.2,247.9,0
SNS000004,AC001,2022-11-30,33232,932.1,69.07,0.383,2332.6,235.2,0
SNS000005,AC001,2022-03-01,33240,923.2,78.95,0.813,2219.6,229.2,0
SNS000006,AC001,2023-10-03,33248,923.6,68.67,0.776,2579.4,213.7,0
SNS000007,AC001,2022-03-07,33256,932.7,45.91,0.547,2261.5,184.7,0
SNS000008,AC001,2022-09-21,33264,929.2,46.79,0.793,2222.5,220.9,0
SNS000009,AC001,2022-08-29,33272,922.4,82.77,0.501,2533.6,210.1,0
SNS000010,AC001,2023-04-04,33280,927.5,61.92,0.602,2260.2,251.0,0
SNS000011,AC001,2022-06-05,33288,922.3,71.92,0.859,2283.0,197.5,0
SNS000012,AC001,2024-07-25,33296,922.6,77.26,0.364,2329.2,190.3,0
SNS000013,AC001,2024-07-10,33304,926.5,65.36,0.474,2599.0,254.1,0
SNS000014,AC001,2024-01-20,33312,916.1,71.27,0.401,2448.4,226.5,0
SNS000015,AC001,2023-08-29,33320,916.6,64.69,0.559,2405.8,209.7,0
SNS000016,AC001,2024-01-24,33328,921.9,58.67,0.819,2220.0,230.3,0
SNS000017,AC001,2022-10-02,33336,920.8,70.11,0.462,2250.2,209.2,0
SNS000018,AC001,2023-08-10,33344,928.2,67.13,0.611,2571.0,235.2,0
SNS000019,AC001,2022-09-26,33352,921.9,71.3,0.404,2504.5,184.9,0
SNS000020,AC001,2024-07-17,33360,919.9,75.69,0.629,2350.3,242.0,0
SNS000021,AC001,2022-06-02,33368,933.1,57.39,0.806,2405.1,236.8,0
SNS000022,AC001,2022-07-09,33376,924.4,81.18,0.499,2455.3,205.6,0
SNS000023,AC001,2022-05-03,33384,927.4,46.34,0.759,2167.8,230.5,0
SNS000024,AC001,2023-06-21,33392,919.1,45.84,0.694,2373.5,204.0,0
SNS000025,AC001,2022-04-27,33400,922.7,74.04,0.652,2221.0,237.9,0
SNS000026,AC001,2022-07-07,33408,927.9,74.21,0.343,2595.6,180.8,0
SNS000027,AC001,2022-12-21,33416,921.1,84.7,0.462,2244.8,246.8,0
SNS000028,AC001,2022-02-15,33424,928.8,48.35,0.751,2144.3,224.1,0
SNS000029,AC001,2022-03-21,33432,923.2,78.03,0.241,2339.1,205.4,0
